rating,roaster,title,blind_assessment,notes,bottom_line,roaster location,coffee origin,roast level,agtron,est. price,review date,aroma,acidity,body,flavor,aftertaste,url,with milk,acidity/structure
91,Paradise Roasters,Guatemala Huehuetenango Fair Trade Organic,"Pungent cedar, delicate flowers, ripe grapefruit, dark chocolate in aroma and cup. Roundly tart, deeply expressed acidity; lightly syrupy mouthfeel. Flavor consolidates in a rich though simple finish.","Certified organically grown entirely from trees of the heirloom Bourbon variety of Arabica. Huehuetenango is one of the most respected of Guatemala coffee growing regions. Paradise Roasters specializes in micro-lot coffees and espressos from Hawaii and other premier coffee growing regions. The company prides itself on quality and freshness, craft-roasting coffees in small batches only after orders are placed. Visit www.paradiseroasters.com or call 763-433-0626 for more information.",,"Ramsey, Minnesota","Huehuetenango growing region, Guatemala.",Medium-Light,58/82,$12.95/12 ounces,August 2013,9,8,8,9,7,https://www.coffeereview.com/review/guatemala-huehuetenango-fair-trade-organic/,,
92,Bard Coffee,Cerro Paldo Tarrazu Costa Rica,"Crisply complex. Butter, cherry, pungent cedar, dark chocolate, a hint of sweet dusk-blooming flowers in aroma and cup. Round, floral-toned acidity; light but very silky mouthfeel. Deep, flavor-saturated, though distinctly dry finish.","Bard Coffee is a coffeehouse and roasting company based in Portland, Maine, focused on distinctive single-origin coffees. Bard Coffee is co-owned by Bob Garver, founder of Wicked Joe coffee and a frequent judge at barista competitions in the United States and internationally. Visit www.bardcoffee.com or call 207-899-4788 for more information.",,"Portland, Maine","Tarrazu growing region, central Costa Rica",Medium,55/65,$16.00/12 ounces,July 2013,9,8,9,9,7,https://www.coffeereview.com/review/cerro-paldo-tarrazu-costa-rica/,,
93,David's Nose,Nicaragua La Huella Catuaí,"Crisp, delicately sweet. Nectarine, jasmine, cocoa nib, almond, oak in aroma and cup. Sweet-toned structure with gentle acidity; full, viscous mouthfeel. The finish centers around notes of nectarine, cocoa nib, and oak.","Matagalpa is one of the classic growing regions of Nicaragua. This washed-process coffee is comprised entirely of the Catuaí variety of Arabica. David's Nose Coffee is a specialty coffee roaster based in Taipei, Taiwan whose founder studied agronomy and has a deep interest in crop quality. For more information, visit www.dnose.com.tw.","A stone fruit- and floral-driven Nicaragua cup with an especially plush, vibrant mouthfeel.","Taipei, Taiwan","Matagalpa, Nicaragua",Light,62/80,NT $500/16 ounces,September 2020,9,,9,9,8,https://www.coffeereview.com/review/nicaragua-la-huella-catuai/,,8
87,Starbucks Coffee,Rwanda Blue Bourbon Black Apron Exclusive,"A paradoxical coffee, thin and subdued, but with considerable suggestions of richness and complexity. In the aroma muted suggestions of night flowers, butter, black cherries. In the cup lean but silky mouthfeel and delicate hints of spicy nut, cocoa, more flowers and cherry, perhaps of a rather dullish aromatic wood. The flavor persists nicely into an otherwise short, fast-fading finish.","The coffee cooperatives of Rwanda, benefiting from superb growing conditions, traditional varieties of Arabica and support from aid agencies and coffee idealists, are beginning to produce coffees that rank among the world's finest and most distinctive. Bourbon is a prestigious heirloom variety of Coffea Arabica. This is the April 2008 offering in the Starbucks Black Apron Exclusives line of distinctive seasonally available coffees. Visit www.starbucks.com for more information.",,"Seattle, Washington",Rwanda.,Dark,37/40,,April 2008,7,7,8,8,7,https://www.coffeereview.com/review/rwanda-blue-bourbon-black-apron-exclusive/,,
93,PT's Coffee Roasting Co.,Reserva del Patron Colombia Narino,"Distinctive aromatics: sweetly dry fruit notes that suggest black current, blackberry, tart cherry, cedary orange. Lightly syrupy mouthfeel, fine balance. Long, deep finish that stays on the rich side of astringent.","Reserva del Patron is a very high-grown and exceptionally rigorously selected green coffee from an admired growing region in the southernmost Colombia Department of Narino. PT's is a quality-oriented wholesale/retail specialty roaster with a wide and refined selection of coffee blends and origins. The PT's motto is ""without the love, it's just coffee."" Visit www.ptscoffee.com or call 888-678-5282 for more information.",,"Topeka, Kansas","Narino Department, southern Colombia",Medium-Light,60/80,,February 2008,8,8,8,8,8,https://www.coffeereview.com/review/reserva-del-patron-colombia-narino/,,
93,JBC Coffee Roasters,Masha #5 Burundi,"Richly sweet, gently fruity. Bing cherry, toffee, narcissus, cedar, sassafras in aroma and cup. Brisk, sweet acidity; very full, creamy mouthfeel. Resonant finish centered around notes of toffee and narcissus.","Produced by smallholding farmers, entirely if the Bourbon variety of Arabica, and processed by the natural method (dried in the whole fruit) at the Masha Washing Station. JBC Coffee Roasters’ vision is simple: “Let the coffee lead the way” through sourcing and roasting the best and most unique coffees available and rewarding the farmers who grow those coffees with substantial premiums. Visit www.jbccoffeeroasters.com or call 608-256-5282 for more information.","A deeply sweet, subtly fruit-forward natural-processed Burundi characterized by notes of toffee, spice-toned florals and sassafras-like undercurrent.","Madison, Wisconsin","Kayanza, Burundi",Light,66/84,$20.00/12 ounces,May 2024,9,,9,9,8,https://www.coffeereview.com/review/masha-5-burundi/,,8
87,El Gran Cafe,Las Moritas Yellow Caturra,"Gently fruit-toned, wood-framed. Prune, balsa wood, hazelnut, orange zest, a hint of freesia in aroma and cup. Sweet-savory structure with gently bittersweet acidity; velvety mouthfeel. Notes of balsa and hazelnut drive the finish.","Produced by Higinio Gómez entirely of the Yellow Caturra variety of Arabica, and processed by the washed method (fruit skin and flesh are removed from the beans before they are dried). El Gran Cafe is a coffee shop located in the heart of Antigua, Guatemala whose mission is to roast and serve organic-certified coffees produced at its own Finca La Esperanza and Finca El Pintado just outside of town. Featured in El Gran Cafe’s lineup are also coffees from friends and neighbors in the region, along with award-winning and exceptional coffees from other regions of Guatemala. Visit https://elgran.cafe/ for more information.",A richly nutty Guatemala cup with notes of dried fruit and a hint of spice-toned florals.,"Antigua, Guatemala","El Progresso Department, Guatemala",Light,58/84,$13.00/12 ounces,December 2021,8,,7,8,7,https://www.coffeereview.com/review/las-moritas-yellow-caturra/,,7
93,Equator Coffees,Yemen Sana’a,"Elegantly fruit-toned, richly sweet. Dried black cherry, pipe tobacco, almond, vanilla, honeysuckle in aroma and cup. Sweetly tart structure with gently brisk acidity; very syrupy-smooth mouthfeel. The finish consolidates  vanilla and cherry notes supported by pipe tobacco.","Produced by smallholding farmers from trees of local heirloom varieties of Arabica and processed by the natural method (dried in the whole fruit). Founded in 1995 by Brooke McDonnell and Helen Russell, Equator Coffees operates retail stores in the San Francisco Bay Area and provides coffee to hundreds of wholesale accounts. Visit www.equatorcoffees.com or call 800-809-7687 for more information.","A nuanced, sweetly earthy and fruit-forward Yemen with honey-like florals and notes of ripe stone fruit.","San Rafael, California","Sana’a Governorate, Yemen",Light,62/84,$32.00/6 ounces,October 2021,9,,9,9,8,https://www.coffeereview.com/review/yemen-sanaa/,,8
95,Mudhouse Coffee Roasters,Mora Negra Geisha Hartmann Farm,"Deeply rich, intricately composed. Raspberry jam, peppermint, lilac, fine musk, roasted cacao nib in aroma and cup. Gentle, sweet acidity; plush, satiny mouthfeel. The delicate but resonant finish is redolent of cocoa-toned peppermint, richly drying and invitingly sweet.","Produced from trees of the rare Ethiopia-derived botanical variety Gesha (also Geisha) by the Hartmann family. With its generally elongated beans and distinctive floral and crisp, often chocolaty cup, the Gesha variety continues to distinguish itself as one of the world’s most unique coffees. This is a dry-processed or “natural” Gesha, meaning the beans were dried inside the fruit rather than after the fruit has been removed, as is the case with wet-processed or “washed” coffees. Mudhouse Coffee Roasters, Roast Magazine's 2017 Micro-Roaster of the Year, is a small, quality-focused roaster in Charlottesville, Virginia that specializes in ""super-specialty"" coffees. This focus, along with their commitment to environmentally and socially sustainable coffee production, is what led them to planting a coffee farm in Boquete, Panama along with partners Willem Boot and Kelly Hartmann. Visit www.mudhouse.com for more information.","An elegant natural-processed rendition of the classic Gesha cup, with notes of floral-toned musk and cocoa revealed in complex layers.","Charlottesville, Virginia","Chiriqui Province, far western Panama",Medium-Light,56/78,$29.00/8 ounces,December 2016,9,9,9,9,9,https://www.coffeereview.com/review/mora-negra-geisha-hartmann-farm/,,
91,Green Mountain Coffee,Newman’s Own Organics Colombian Especial,"Aromatically deep, with richly round caramel, toast and milk chocolate notes. In the cup penetrating acidity and flavor. Intense fruit-toned chocolate gives way to layers of fruit (peach, orange, black currant?) that soften and grow in complexity as the cup cools. Pungent dark chocolate dominates in the finish.","Sales of this coffee help support a variety of educational and charitable organizations through the Newman's Own Organics organization. It is certified organically grown and Fair Trade, the latter meaning the green beans were purchased from small-holding farmers at a ""fair"" or economically sustainable price. Green Mountain Coffee Roasters is one of the country's leading specialty roasters, offering a particularly wide-ranging variety of origins and roast styles, including an impressive selection of Fair-Trade and certified organic coffees under various labels, among them Newman's Own Organics. Visit www.greenmountaincoffee.com for more information.",,"Waterbury, Vermont",Colombia,Medium,45/59,$8.49/10 oz.,May 2010,8,8,8,9,8,https://www.coffeereview.com/review/newmans-own-organics-colombian-especial/,,
94,Batdorf & Bronson,Sumatra Lake Tawar,"Intense aroma and flavor, dominated by one of the most distinctive notes in coffee, a kind of earthy, pungent citrus sensation that may suggest grapefruit to some, butterscotch to others, but essentially is a pleasure that belongs to this style of coffee alone. Complicated by flowering grass, nut, dark chocolate. Balanced, integrated acidity, silky mouthfeel, sweetly rich, resonantly flavor-saturated finish.","A clean yet intense version of the traditional Sumatra wet-hulled coffee type with its richly fruity and earthy tendencies. Batdorf & Bronson is a premium wholesale specialty roaster with operations in Olympia, Washington and Atlanta, Georgia and a long and honorable commitment to quality and sound relationships with growers. Visit www.batdorfcoffee.com or call 800-955-5282 for more information.",,"Olympia, Washington","Lake Tawar basin, Aceh Province, northern Sumatra, Indonesia",Medium,46/60,$14.50 / 16 oz.,April 2010,9,8,8,9,8,https://www.coffeereview.com/review/sumatra-lake-tawar-4/,,
95,Kakalove Cafe,Ethiopia Washed Shakisso Mormora 74112,"Delicate, richly floral-toned. Lavender, blood orange, cocoa nib, almond butter, sandalwood in aroma and cup. Balanced structure with fine, floral-toned acidity; silky-smooth, vibrant mouthfeel. The long, sweet finish centers around notes of cocoa nib, lavender and blood orange.","Produced in the Guji growing region, an area nestled next to Ethiopia's better-known Yirgacheffe and Sidamo regions, from trees of the indigenous 74112 selection of Arabica, and processed by the washed method (fruit skin and flesh are removed from the beans before they are dried). Kakalove Café is a nano-roaster located in the small city of Chia-Yi in Taiwan that strives to procure and roast the finest quality coffee. Visit www.kakalovecafe.com.tw or email [email protected] for more information.","A complex, nuanced washed Ethiopia cup alive with spice-toned florals, richly bittersweet citrus, and distinct cocoa.","Chia-Yi, Taiwan","Guji Zone, Oromia Region, southern Ethiopia",Medium-Light,58/78,NT $325/8 ounces,June 2022,9,,9,9,9,https://www.coffeereview.com/review/ethiopia-washed-shakisso-mormora-74112/,,9
93,Rusty's Hawaiian,Classic Roast,"Sweetly and intensely pungent. Honey, black currant, sweet plum, dark chocolate, night-blooming flowers in aroma and cup. Deeply nuanced, balanced acidity; syrupy mouthfeel. Flavor and sweetness overwhelm a slight drying sensation in the finish.","Ka’u is a newly emerged Hawaii coffee growing district centered thirty miles or so southeast of the famous Kona region. Lorie Obra’s Rusty’s Farm is one of Ka’u’s best-known and most celebrated farms. Lorie meticulously picks, processes and roasts her coffees using traditional methods and artisan attention. Visit www.rustyshawaiian.com or call 808-928-8916 for more information.",,"Pahala, Hawaii","Ka'u growing district, ""Big Island"" of Hawaii.",Medium,53/67,$19.00/8 ounces,August 2014,9,8,9,9,8,https://www.coffeereview.com/review/classic-roast-3/,,
89,Caffe Bomrad,100% Arabica 100% Italiano,"Evaluated as espresso. Smoothly round aroma: toasted almond, cocoa-toned caramel and apricot-like stone fruit. Syrupy mouthfeel. Turns crisper in the small cup: the almond turns smoky and walnutty, the caramel deepens toward a cedary dark chocolate. Dominates richly in two parts milk.",Roasted in Northern Italy and distributed in North America. Marcelo Bomrad-Casanova launched Caffè Bomrad with a commitment to the most authentic tradition of Italian coffee roasting practices. Visit www.caffebomrad.com for more information.,,"Torino, Italy",Not disclosed.,Medium,48/65,$54.00/1 Kilogram,November 2011,8,,8,8,7,https://www.coffeereview.com/review/100-arabica-100-italiano/,8,
93,Oak & Bond Coffee Company,Guatemala Vista Al Bosque,"Chocolaty, floral-toned. Dark chocolate, rhododendron-like flowers, hazelnut butter, date, cedar in aroma and cup. Sweet in structure with gentle, round acidity; very full, syrupy mouthfeel. The finish centers around notes of dark chocolate and rhododendron with hints of cedar.","Produced by Wilmar Castillo at Vista Al Bosque farm from the Bourbon and Caturra varieties of Arabica and processed by the wet, or washed, method (fruit skin and pulp are removed before drying). Oak & Bond is a specialty retail and wholesale coffee roaster based in Charlotte, North Carolina. The company’s name combines “oak,” a reference to its first coffee, a barrel-aged release, and “bond,” referring to the founders’ happy marriage. For more information, visit www.oakandbondcoffee.com.","A richly sweet Guatemala cup with a throughline of vanilla-like florals and deep, dark chocolate.","Charlotte, North Carolina","Huehuetenango, Guatemala",Medium,52/68,$19.00/12 ounces,June 2020,9,,9,9,8,https://www.coffeereview.com/review/guatemala-vista-al-bosque/,,8
86,Bom Dia Cafe,Marques de Paiva Gourmet Fair Trade Espresso Roast,"Fine, delicate aroma: sweet-toned with floral top notes and a hint of dark chocolate. In the small cup medium-bodied and sweet but rather simple: some continued dark chocolate notes and raisiny fruit. In milk remains sweetly delicate and restrained.","Certified Fair Trade, meaning the coffees in this blend were purchased from small-holding farmers at a ""fair"" or economically sustainable price. Marques de Paiva is a brand of Cafe Bom Dia, a family-owned company that grows, roasts and distributes coffee from the classic Brazilian coffee-growing region of Sul de Minas. Visit www.marquesdepaiva.com or call 305-470-8010 for more information.",,"Miami, Florida",South-Central Brazil,Medium-Dark,38/48,,October 2006,8,,7,7,7,https://www.coffeereview.com/review/marques-de-paiva-gourmet-fair-trade-espresso-roast/,7,
93,Green Stone Coffee,Flower Queens of Africa Blend,"Richly fruit- and floral-toned. Blueberry, gardenia, dark chocolate, orange zest, a hint of thyme in aroma and cup. Sweet-savory with gently fruity acidity; full, satiny-smooth mouthfeel.The finish consolidates to notes of blueberry and dark chocolate with undertones of thyme.","A blend of coffees from Ethiopia's Guji growing region, which is nestled next to the better-known Yirgacheffe and Sidamo and shares their devotion to the distinctive, largely indigenous varieties of Arabica long grown in these regions. This is a “natural” or dry-processed version (dried in the whole fruit). Green Stone Coffee is a woman-owned artisan roastery in Taipei, Taiwan founded in 2016 and specializing in sourcing distinctive coffees that express their individual terroirs. Visit www.greenstone-coffee.com.tw for more information.","An easygoing, cleanly fruit-forward natural-processed cup with big floral notes and delicate citrus and herb suggestions.","Taipei, Taiwan","Guji Zone, Oromia Region, southern Ethiopia",Medium-Light,60/76,NT $300/100 grams,November 2020,9,,9,9,8,https://www.coffeereview.com/review/flower-queens-of-africa-blend/,,8
94,Magnolia Coffee,Ethiopia Durato Bombe,"Richly fruit-forward, deeply chocolaty. Dried mango, chocolate fudge, wisteria, cedar, pistachio in aroma and cup in aroma and cup. Sweetly tart structure with winy acidity; plush, syrupy mouthfeel. The rich-toned finish consolidates to notes of dried mango, chocolate fudge and cedar.","Coffees from the Sidama region like this one are produced from distinctive, largely indigenous Ethiopian landrace varieties of Arabica long grown in the region. Processed by the natural method (dried in the whole fruit). Magnolia Coffee is a Charlotte-based specialty roaster whose mission is to use sustainably sourced coffees to make a difference in the lives of coffee workers and to foster a socially conscious community with cause-supporting coffees. Visit www.magnoliacoffeeco.com for more information.","An engagingly vibrant, deeply sweet, richly tart and chocolaty natural-processed Ethiopia.","Charlotte, North Carolina","Bombe mountains, Sidama Region, southern Ethiopia",Medium-Light,58/78,$19.00/12 ounces,March 2022,9,,9,9,8,https://www.coffeereview.com/review/ethiopia-durato-bombe/,,9
93,JBC Coffee Roasters,Santuario Peru,"Deep-toned, richly chocolaty. Dark chocolate, date, narcissus, almond, brown sugar in aroma and cup. Sweet, balanced acidity; very full, creamy mouthfeel. Sweet-toned finish with notes of dark chocolate and almond.","Produced by smallholding members of the Santuario Cooperative, from trees of the Caturra, Bourbon, Pache, Catimor and Typica varieties of Arabica, and processed by the traditional washed method (fruit skin and pulp removed before drying). JBC Coffee Roasters’ vision is simple: “let the coffee lead the way” through sourcing and roasting the best and most unique coffees available and rewarding the farmers who grow those coffees with substantial premiums. Visit www.jbccoffeeroasters.com or call 608-256-5282 for more information.","A rich, deeply chocolaty, floral- and nut-toned Peru with subtle hints of spicy florals.","Madison, Wisconsin","Cajamarca, Peru",Medium-Light,54/72,$18.00/12 ounces,December 2023,9,,9,9,8,https://www.coffeereview.com/review/santuario-peru/,,8
94,Paradise Roasters,Kona Pink Honey Black Rock Farm,"Richly and elegantly fruit-toned. Strawberry-guava, cocoa nib, violet, wild honey, aloe wood in aroma and cup. Vivaciously sweet-tart structure with juicy, balanced acidity; full, creamy mouthfeel. Resonant fruit-forward finish with notes of strawberry-guava, cocoa nib and violet.","Produced at Black Rock Farm entirely from trees of the Typica variety of Arabica and processed by the pink honey method, in which coffee is fermented in cherries first, resulting in a vibrant pink tinge to the fruit upon removing the skin. The coffee is laid to dry on patios with the fruit still attached to the parchment, commonly called honey processing. In the fermentation, yeast strains have been utilized to enhance the floral and tropical fruit character of the coffee. Paradise Roasters specializes in micro-lot Arabica and Robusta coffees from Asia and other emerging origins. The company prides itself on quality and freshness, craft-roasting coffees in small batches only after orders are placed. Visit www.paradiseroasters.com or call 763-433-0626 for more information.","A uniquely composed coffee processed by a twist on the traditional honey method that results in a sweet, tart, high-toned, lyrical cup.","Minneapolis, Minnesota","Kona, Big Island of Hawai’i",Medium-Light,58/78,$24.95/4 ounces,September 2020,9,,9,9,8,https://www.coffeereview.com/review/kona-pink-honey-black-rock-farm/,,9
90,Serda's Coffee,Coastal Clear Blend,"In the aroma rich dark chocolate and toast with hints of wood smoke, cinnamon and fruit. In the cup smooth acidity, full body and gentle flavors that balance lemon with sweeter-toned fruit and cocoa. Flavor fades rather quickly in the finish.","This blend combines very dark-roasted Guatemala with lighter-roasted East African coffees. Proceeds from this blend are donated to Mobile Bay Keepers and the Alabama Coastal Foundation to help in efforts to clean up the recent Gulf oil spill. Serda's is a coffee roaster and lively cafe in Mobile, Alabama that evolved from an online coffee retailer and Internet cafe in Costa Rica. Visit www.serdascoffee.com or call 866-783-8925 for more information.",,"Mobile, Alabama",Ethiopia; Rwanda; Guatemala.,Medium-Dark,41/43,$12.95/16 oz.,August 2010,8,8,9,8,7,https://www.coffeereview.com/review/coastal-clear-blend/,,
94,Bucks County Coffee,Fair Trade Organic Guatemala,"High-toned, sweet, light-footed and delicate, yet rich and deeply dimensioned. Lemon and red-wine notes in the aroma, in the cup red wine, cherry and a shimmer of flowers. Long, complex finish.","Purchased at A&P, ground in sealed 12-ounce foil bag with one-way valve; $10.65 per pound. Produced by indigenous Maya members of the ASOBAGRI cooperative. Certified organically grown and fair-traded, meaning farmers have been paid an economically sustainable price for this coffee based on internationally established price guidelines. Bucks County Coffee has managed to stay close to its micro-roasting roots throughout its expansion from a small roasting machine in a carriage house to one of the country's largest regional specialty coffee chains. Visit www.buckscountycoffee.com or call 800-844-8790 for more info.",,"Langhorne, Pennsylvania","Huehuetenango growing region, north-central Guatemala",Very Dark,0/66,,June 2003,9,8,8,10,,https://www.coffeereview.com/review/fair-trade-organic-guatemala/,,
93,Big Shoulders Coffee,Burundi Buhorwa,"Balanced, richly sweet-tart. Lychee, orange zest, amber oil, cocoa nib, narcissus-like flowers in aroma and cup. Sweet-toned structure with poised acidity; syrupy-smooth mouthfeel. The floral-toned finish centers around amber and orange zest suggestions.","Produced by smallholding farmers entirely from the Bourbon variety of Arabica and processed at the Buhorwa Washing Station. Benefiting from ideal growing conditions and large plantings of Bourbon and related heirloom varieties of Arabica, Burundi coffee has developed a growing following among North American roasters and enthusiasts. Big Shoulders Coffee is a Chicago artisan roaster that emphasizes a fresh-roasted, no-nonsense approach to fine coffee. Visit www.bigshoulderscoffee.com or call 312-846-1439 for more information.","A delicately perfumed, floral-toned Burundi with a throughline of resiny amber-like notes.","Chicago, Illinois","Kayanza Province, Burundi",Light,63/81,$22.00/12 ounces,December 2020,9,,9,9,8,https://www.coffeereview.com/review/burundi-buhorwa-3/,,8
93,Paradise Roasters,Kona Pumpkin Spice Anaerobic,"Sweetly spice-toned. Cinnamon, cocoa powder, plum, ginger blossom, narcissus in aroma and cup. Richly sweet structure with round acidity; full, satiny mouthfeel. The spice-toned finish centers on cinnamon and gingerbread suggestions.","Produced at Kona’s Black Rock Farms entirely of the Typica variety of Arabica and processed by the anaerobic method with the addition of spices to the tank during the fermentation step. Paradise Roasters specializes in micro-lot Arabica and Robusta coffees from Asia and other emerging origins. The company prides itself on quality and freshness, craft-roasting coffees in small batches only after orders are placed. Visit www.paradiseroasters.com or call 763-433-0626 for more information.","A subtly nostalgic, playful holiday coffee appropriate for welcoming autumn with notes of warming spices and cocoa.","Minneapolis, Minnesota","Kona, Big Island of Hawai’i",Medium-Light,58/76,$24.95/4 ounces,September 2020,9,,9,9,8,https://www.coffeereview.com/review/kona-pumpkin-spice-anaerobic/,,8
81,Flavia,Colombia,"(As brewed in a Flavia Fusion Drink Station using a Flavia proprietary single-serve pouch at a cup volume of 7 ounces): Subdued, delicate, vanilla-toned aroma. In the cup excellent body and mouthfeel, good sweetness, but very flat and monotoned in flavor, with a hint of fruit and cardboardy stale notes. No flavor whatsoever persists in the simple, slightly astringent finish.","The Flavia Fusion Drink Station is a sleekly redesigned, consumer version of the well-established office hot beverage machines Flavia S350 and SB100. It prepares coffees in proprietary Flavia pouches, which currently cannot be purchased from third-party roasting companies and cannot be used in other single-serve brewing devices. Flavia is a brand of Mars Incorporated, a large privately owned company that started with its now classic candies before adding pet food (Whiskas), people food (Uncle Ben's) vending systems, and now the Flavia Drink Station and its beverages. Visit www.myflavia.com or call 888-693-5284 for more information.",,"West Chester, Pennsylvania",Colombia,NA,0/0,,December 2005,6,7,7,6,6,https://www.coffeereview.com/review/colombia/,,
94,Genesis Coffee Lab,Ethiopia Honey Process Tamiru Tadesse,"Delicately fruit-toned, tisane-like. Dried strawberry, baking chocolate, lemon verbena, maple syrup, cashew butter in aroma and cup. Sweetly tart structure with gently bright acidity; silky mouthfeel. Pleasing, quietly berry-toned finish.","Produced by Tamiru Tadesse of Alo Coffee. Southern Ethiopia coffees like this one are largely produced from selections of distinctive indigenous Ethiopian landrace varieties of Arabica long grown in the region. Processed by the honey method, in which the fruit skins are removed, but some of the fruit flesh is left to dry on the beans. Genesis Coffee Lab specializes in developing relationships with and importing coffees from specialty coffee producers in Ethiopia. Visit www.genesiscoffeelab.com for more information.","A delicate, elegant, honey-processed Sidamo cup with leading notes of dried berry and herby citrus notes.","Big Lake, Alaska","Sidamo growing region, south-central Ethiopia",Light,64/83,$35.00/10 ounces,November 2022,9,,9,9,8,https://www.coffeereview.com/review/ethiopia-honey-process-tamiru-tadesse/,,9
68,Café Godiva,Special Roast,"This coffee arrived pre-ground (not available whole bean), perhaps accounting for its flatness in nose and cup, although some herbal or prune notes survive in the thin, carbon-toned acidity.","Arrived pre-ground, perhaps accounting for flatness in nose and cup. Thin, carbon-toned acidity.",,"Clinton, Connecticut",,Medium-Dark,/44,,February 1997,5,4,4,5,,https://www.coffeereview.com/review/special-roast/,,
92,Honta Coffee,Fruit Candy Blend,"Chocolaty, sweetly tart. Blueberry, molasses, lemon, cocoa powder, allspice in aroma and cup. Sweet structure with brisk acidity; crisply smooth, velvety mouthfeel. Allspice and baking chocolate lead in the crisp finish.","A blend of coffees from Brazil, Guatemala, Tanzania and Ethiopia. Honta Coffee is a Taiwan-based specialty roaster. Visit www.honta.tw/phone/index.html for more information.","A berry- and chocolate-toned blend — clean, delicately fruit-forward, richly sweet.","Taoyuan, Taiwan",Brazil; Guatemala; Tanzania; Ethiopia,Medium-Light,58/75,NT $450/454 grams,December 2022,9,,8,9,8,https://www.coffeereview.com/review/fruit-candy-blend/,,8
92,Temple Coffee,Festivity Blend,"Richly sweet, nut-toned. Almond nougat, tangerine, cocoa powder, freesia-like flowers, oak in aroma and cup. Sweet-toned structure with brisk acidity; plush, satiny mouthfeel. Crisply nut-toned finish with undertones of cocoa-powder.","A blend of three coffees: a Guatemala and a Colombia, both washed-process, and a natural-processed Ethiopia. Temple Coffee is a quality-focused retail and wholesale specialty roaster active in Sacramento, California since 2005. Committed to sourcing, roasting and brewing the finest coffees, Temple features coffee from distinguished single estates and cooperatives around the world. Visit www.templecoffee.com or call 916-454-1282 for more information.",A sweetly nut-toned holiday blend with pleasing citrus and cocoa impulses.,"Sacramento, California",Guatemala; Ethiopia; Colombia,Medium-Light,58/74,$22.50/12 ounces,November 2022,8,,9,9,8,https://www.coffeereview.com/review/festivity-blend-2/,,8
93,Paradise Roasters,Coffea Diversa Liberica Carbonic Maceration,"Very sweet; floral and yogurt-like. Pineapple kefir, dark chocolate, cashew, tiger lily, kumquat in aroma and cup. Completely original structure: quite sweet, with a delicately tart character associated with lactic acid fermentation. Lively, crisply round mouthfeel. Richly intricate, layered, flavored-saturated finish.","Produced by Gonzalo Hernandez at his Coffea Diversa “coffee garden” in Costa Rica entirely of the Deweverei variety of coffea Liberica. Liberica is a species of coffee native to central Africa and long cultivated in parts of Southeast Asia. Processed by the carbonic maceration natural method, which involves fermenting whole fruit inside a sealed container that has been flushed with CO2. Paradise Roasters specializes in micro-lot Arabica and Robusta coffees from Asia and other emerging origins. The company prides itself on quality and freshness, craft-roasting coffees in small batches only after orders are placed. Visit www.paradiseroasters.com or call 763-433-0626 for more information.","An exceedingly rare coffee in all respects: A genuinely fine coffee produced from trees of the overlooked and poorly regarded Liberica species, processed by the still unusual carbonic maceration method. The result is a cup that is wildly original and engagingly complex.","Minneapolis, Minnesota","Biollet, Costa Rica",Light,62/80,$19.95/12 ounces,June 2020,9,,8,9,9,https://www.coffeereview.com/review/coffea-diversa-liberica-carbonic-maceration/,,8
91,Chromatic Coffee,Gamut Espresso (reviewed for drip applications),"Sweet, round, complexly and delicately chocolaty. Milk chocolate, honey, floral-toned vanilla, almond in aroma and cup. Soft, backgrounded acidity; very lightly syrupy mouthfeel. Flavor consolidates but persists in a long, resonant finish.","Gamut is Chromatic Coffee’s flagship espresso. It is reviewed here for brewed or non-espresso applications, however. Chromatic prides itself in doing everything in-house and meticulously, from printing its attractive bags to modifying equipment to sourcing and roasting its fine coffees. Visit www.chromaticcoffee.com for more information.",,"San Jose, California",Brazil; Ethiopia; El Salvador.,Medium,52/66,$16.00/12 ounces,February 2014,8,7,8,9,9,https://www.coffeereview.com/review/gamut-espresso-reviewed-for-drip-applications/,,
94,Barrington Coffee Roasting Co.,Tchembe Single Origin Espresso,"Evaluated as espresso. Complex flowers and citrus, high-toned but smooth. Flowers, butter, grapefruity citrus, roasted cocoa nib in aroma and small cup. Smooth, lightly syrupy mouthfeel; rich, long, chocolate-saturated finish. Superb in two parts milk, sweetly and richly chocolate-toned with a gently tart fruit that resonates with particular distinction in a long finish.","This coffee is a dry-processed or ""natural"" coffee, meaning the beans were dried inside the fruit rather than after the fruit has been removed, as is the case with wet-processed or ""washed"" coffees. Yirgacheffe is a coffee region in southern Ethiopia that produces distinctively floral- and fruit-toned coffees from traditional varieties of Arabica long grown in the region. Barrington Coffee is an artisan roaster dedicated to elite coffees, fresh delivery and roasting that foregrounds the coffee and not the roast. Visit www.barringtoncoffee.com or call 800-528-0998 for more information.",,"Lee, Massachusetts","Gedeo Zone, southern Ethiopia.",Medium,53/66,$24.95/16 ounces,April 2013,9,,8,9,9,https://www.coffeereview.com/review/tchembe-single-origin-espresso/,9,
